               20221119-225347,00:00:46.8328267,Release
               20221119-225257,00:00:46.5210054,Release
               20221119-225207,00:00:50.9208036,Release
               20221119-225113,00:00:52.1980470,Release
               20221119-225018,00:00:47.4536610,Release
               20221119-224927,00:00:46.5335174,Release
               20221119-224838,00:00:46.8713326,Release
               20221119-224748,00:00:46.6607329,Release
               20221119-224658,00:00:48.8329048,Release
               20221119-224606,00:00:47.6987628,Release
               20221117-062205,00:00:01.3437384,Release
               20221117-062200,00:00:01.3088478,Release
               20221117-062157,00:00:01.3330473,Release
               20221117-062153,00:00:01.5176865,Release
               20221117-062149,00:00:01.3093723,Release
               20221117-062145,00:00:01.2914316,Release
               20221117-062142,00:00:01.3990754,Release
               20221117-062137,00:00:01.6773448,Release
               20221117-062133,00:00:01.7091767,Release
               20221117-062129,00:00:02.0290602,Release

